,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,label,label_bin
4765,साफ,خالص,saːpʰ,xɒls,Clean,pure,1.0,0.75,0.3541666666666666,0.3854166666666667,3.3125,0.375,4,synonym,0
677,नादिरशाही,نادر شاه,naːdirʃaːɦiː,nɒdr ʃɒh,nadirshahi,Nader Shah,0.75,0.2222222222222222,0.2314814814814815,0.2546296296296296,1.9722222222222223,0.2546296296296296,9,loan,1
1339,ज़ात,داد,zaːt,dɒd,caste,Dad,1.0,0.0,0.0694444444444444,0.0694444444444444,0.9166666666666666,0.0694444444444444,4,hard_negative,0
622,अस्पष्ट,اسرار امیز,aspəʂʈə,ɒsrɒr ɒmjz,Unclear,Mysterious,0.9,0.6666666666666666,0.3310185185185185,0.3796296296296296,3.736111111111111,0.3518518518518518,10,synonym,0
1073,रूद,رود,ruːd,rvd,rudd,River,0.5,0.3333333333333333,0.1180555555555555,0.1388888888888889,2.833333333333333,0.1180555555555555,3,loan,1
274,अशिष्ट,تیز,aʃiʂʈə,tjz,Impolite,Sharp,1.0,0.6666666666666666,0.5,0.5555555555555555,4.4375,0.548611111111111,6,synonym,0
56,आज़ाद,آزاد,aːzaːd,ɒzɒd,free,Free,0.6666666666666666,0.0,0.0625,0.0625,0.75,0.0625,5,loan,1
1339,हैरान,لشکری,ɦæːraːn,lʃkrj,astonished,لشکری,0.8571428571428571,0.8,0.2791666666666667,0.35,5.375,0.2791666666666667,5,random,0
1337,हुस्न,سرد,ɦusnə,srd,beauty,Cold,0.8,0.8,0.4458333333333334,0.5083333333333333,4.725,0.4875,5,random,0
273,ख़ुशबू,خوشبو,xuʃbuː,xvʃbv,fragrance,Fragrant,0.5,0.4,0.1333333333333333,0.1583333333333333,3.3,0.1333333333333333,6,loan,1
3740,निष्पक्ष,بی طرفانه,niʂpəkʂə,bj trfɒnh,Neutral,Impartially,1.0,0.75,0.2213541666666666,0.2604166666666667,3.984375,0.2213541666666666,9,synonym,0
2459,चाहते हैं,ناکافی,t͡ʃaːɦte ɦæːn,nɒkɒfj,want to,Insufficient,1.0,0.75,0.3619791666666667,0.3958333333333333,3.859375,0.3854166666666667,9,synonym,0
4475,छुपे हुए,پنهان شده است,t͡ʃʰupe ɦue,pnhɒn ʃdh ɒst,hidden,Is hidden,0.9230769230769232,0.7272727272727273,0.4450757575757575,0.4924242424242424,4.7727272727272725,0.4772727272727273,12,synonym,0
3261,संकल्प,متل,səŋklpə,mtl,oath,like,0.8571428571428571,0.8571428571428571,0.5654761904761906,0.625,4.732142857142857,0.6220238095238094,6,synonym,0
4069,सुल्ताना,داستانی,sultaːnaː,dɒstɒnj,Sultana,Story,0.7777777777777778,0.2857142857142857,0.0952380952380952,0.1011904761904761,1.5535714285714286,0.0952380952380952,8,hard_negative,0
1284,केवल,با شکوه,kevəl,bɒ ʃkvh,Only,glorious,1.0,0.6666666666666666,0.3159722222222222,0.3541666666666667,3.7291666666666665,0.3333333333333333,7,synonym,0
937,मसाला,مصالح,məsaːlaː,msɒlh,Spices,Materials,0.625,0.3333333333333333,0.2118055555555555,0.2361111111111111,2.395833333333333,0.2291666666666666,5,loan,1
2278,पहलू,آتلیه,pəɦluː,ɒtljh,aspect,Atelier,0.8333333333333334,0.6,0.3041666666666667,0.3416666666666667,4.9,0.3041666666666667,5,hard_negative,0
4954,उबाऊ,بی مزه,ubaːuː,bj mzh,boring,tasteless,1.0,1.0,0.375,0.425,5.75,0.3958333333333333,6,synonym,0
3841,सदी,چاپچی,sədiː,t͡ʃɒpt͡ʃj,century,چاپچی,1.0,0.8,0.2958333333333333,0.325,3.0,0.3125,5,hard_negative,0
855,समर्पित,شدید، قوی,səmrpit,ʃdjd، ɣvj,Dedicated,"Intense, strong",1.0,0.8571428571428571,0.2351190476190476,0.2678571428571428,4.303571428571429,0.2351190476190476,9,synonym,0
2051,शांति,صلح,ʃaːnti,slh,Peace,Peace,1.0,0.8,0.4375,0.4833333333333333,4.275,0.4791666666666666,5,synonym,0
164,क़व्वाल,قوال,qəvvaːl,ɣvɒl,qawwal,قوال,0.7142857142857143,0.3333333333333333,0.34375,0.375,2.958333333333333,0.375,7,loan,1
