,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,DNN_logits,MBERT_cos_sim,XLM_cos_sim,loan_unicode_Latin,loan_unicode_Greek,loan_unicode_Cyrillic,loan_unicode_Arabic,loan_unicode_Devanagari,loan_unicode_Bengali,loan_unicode_Gurmukhi,loan_unicode_Tamil,loan_unicode_Telugu,loan_unicode_Malayalam,loan_unicode_Myanmar,loan_unicode_Chinese,original_unicode_Latin,original_unicode_Greek,original_unicode_Cyrillic,original_unicode_Arabic,original_unicode_Devanagari,original_unicode_Bengali,original_unicode_Gurmukhi,original_unicode_Tamil,original_unicode_Telugu,original_unicode_Malayalam,original_unicode_Myanmar,original_unicode_Chinese,label
0,Hindi-Persian,तर्जुमान,ترجمه,tərd͡ʒumaːn,trd͡ʒmh,Translation,Translation,0.4545454545454545,0.5,0.3645833333333333,0.40625,3.078125,0.4036458333333333,8,1.62972,0.78177809715271,0.6995342373847961,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
1,Hindi-Persian,लश्करी,لشکر,ləʃkəriː,lʃkr,Lashkari,Unit of Army,0.5,0.42857142857142855,0.38392857142857145,0.42857142857142855,3.1071428571428568,0.42857142857142855,6,2.2753810000000003,0.8757734894752502,0.5828559398651123,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
2,Hindi-Persian,आबला,ابله,aːblaː,ɒblh,abla,Fool,0.6666666666666666,0.25,0.09375,0.10416666666666667,1.78125,0.09375,4,2.440132,0.8699391484260559,0.6529040932655334,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
3,English-French,Ridiculous,Ridicule,rɪˈdɪkjələs,ʀidikyl,Ridiculous,Ridicule,0.7272727272727273,0.3,0.3125,0.3541666666666667,2.6375,0.3416666666666667,3,-0.67917764,0.9136973023414612,0.8222014307975769,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
4,English-French,cuvée,cuver,cuvée*,kyvəʀ,cuvée,cuver,0.8333333333333334,0.4,0.07083333333333333,0.08333333333333333,1.375,0.07083333333333333,2,-0.014570415,0.8972278237342834,0.7225321531295776,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
5,English-French,potin,Faux,potin*,fo,potin,Faux,0.8333333333333334,0.6,0.5583333333333333,0.6166666666666666,4.575,0.6125,5,0.7093283,0.8258853554725647,0.7147883772850037,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,random
6,English-French,Sane,Sage,seɪn,saʒ,Sane,Sage,0.75,0.5,0.2864583333333333,0.3125,3.0,0.3125,1,-1.5633256000000002,0.5974029898643494,0.8034384846687317,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
7,English-French,solid,solide,ˈsɑləd,sɔlid,solid,solid,0.5,0.0,0.05416666666666668,0.05833333333333333,0.55,0.05416666666666668,1,-2.130537,0.8948137164115906,0.755268394947052,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
8,English-French,circumspect,circonspect,ˈsərkəmˌspɛkt,siʀkɔ̃spɛk,circumspect,circumspect,0.5384615384615384,0.18181818181818185,0.19886363636363635,0.22348484848484845,1.693181818181818,0.2159090909090909,2,3.4158644999999996,0.9465991258621216,0.9202706813812256,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
9,English-French,Fragile,Fragile,ˈfræʤəl,fʀaʒil,Fragile,Fragile,0.7142857142857143,0.16666666666666666,0.20138888888888887,0.22916666666666666,1.7291666666666667,0.2152777777777778,0,-1.7729615,0.9999997615814208,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
