,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,DNN_logits,MBERT_cos_sim,XLM_cos_sim,label
0,All_languages,आसान,آژان,aːsaːn,ɒʒɒn,Ease,آژان,-0.94957334,0.8456178903579712,0.7359282374382019,hard_negative
1,All_languages,दुकान,دوکان,dukaːn,dvkɒn,shop,The shop,0.61779016,0.6667181849479675,0.6316902041435242,hard_negative
2,All_languages,laïcité,Raîche,laïcité*é,ʀaiʃ,secularism,Raîche,-1.9878359,0.8310784697532654,0.5731210112571716,random
3,All_languages,esteem,estime,ɛˈstim,ɛstim,esteem,valued,-1.6945263,0.7725653648376465,0.7645785808563232,synonym
4,All_languages,Magnon,madone,magnon*,madɔn,Magnon,madone,-2.162703,0.7349123954772949,0.8019434213638306,hard_negative
5,All_languages,prepose,verbiage,prepose*,vɛʀbjaʒ,prepose,verbiage,-2.2239292,0.7309542298316956,0.6966529488563538,random
6,All_languages,pain de mie,pied-de-mouche,peɪn də mie*,pjəd-də-muʃ,soft bread,fly foot,-0.66765684,0.8715273141860962,0.5769147276878357,hard_negative
7,All_languages,Severe,Grave,səˈvɪr,ɡʀav,Severe,Grave,-2.5456540000000003,0.8260216116905212,0.7342073917388916,synonym
8,All_languages,Hate,Haine,heɪt,ɛn,Hate,Clothes,-2.1527154,0.747757613658905,0.8071771860122681,synonym
9,All_languages,Agreement,Harmonie,əˈgrimənt,aʀmɔni,Agreement,Harmony,-0.88837117,0.5854771733283997,0.7037972807884216,synonym
10,All_languages,mise,miché,mise*,miʃe,mise,miche,-1.6273379,0.7066563963890076,0.7038135528564453,hard_negative
11,All_languages,tzigane,Sion,tzigane*,sjɔ̃,gypsy,Sion,-1.3634531,0.9999998807907104,1.0,random
12,All_languages,chiffonade,chaussure,chiffonade*,ʃosyʀ,chiffonade,shoe,-2.635985,0.9999998807907104,1.0,random
13,All_languages,Genial,Gagnant,ˈʤinjəl,ɡaɲɑ̃,Genial,Winner,-2.584869,0.9999998807907104,1.0,synonym
14,All_languages,sound,son,saʊnd,sɔ̃,sound,son,-2.2996469,0.9391102790832521,0.6314008235931396,synonym
15,All_languages,commode,cuboïde,kəˈmoʊd,kyboid,commode,cuboid,-2.3693347,1.0000001192092896,1.0,hard_negative
