,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,DNN_logits,ass_bertmbert,ass_bertxlm,ass_bertindic_bert,ass_bertmuril,label
0,Assamese-Bengali,ধনিয়া,ধনিয়া,dʰɔnija,d̪ʱɔn̪ie̯a,Coriander,Coriander,0.5,0.0,0.0347222222222222,0.0416666666666666,0.2708333333333333,0.0347222222222222,0,-10.682543,0.9821844,0.95049244,0.9998184,0.999636,loan
1,Assamese-Bengali,আঁক,আঁকা,ãkɔ,ãka,Draw,Draw,0.3333333333333333,0.0,0.0555555555555555,0.0555555555555555,0.5833333333333334,0.0555555555555555,1,-7.397648299999998,0.956836,0.8881891,0.9996588,0.99973303,loan
2,Assamese-Bengali,জন্তু,জন্তু,zɔntu,d͡ʑɔn̪t̪u,Animals,Animals,0.5555555555555556,0.2,0.0583333333333333,0.0583333333333333,0.65,0.0583333333333333,0,-3.0242127999999995,0.9764378,0.90203,0.99983263,0.9991533,loan
3,Assamese-Bengali,মৈহ,মহিষ,mɔɪɦ,mɔɦiʃ,Maih,The buffalo,0.6,0.4,0.2166666666666666,0.2416666666666667,2.075,0.2375,3,-6.537262999999999,0.9560961,0.89396864,0.9989954,0.9990658,loan
4,Assamese-Bengali,কি,ক্যা,ki,kæ,What?,Kya,0.5,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,3,2.117496,0.9623913,0.8328999,0.9997392,0.99956375,loan
5,Assamese-Bengali,ক্ৰিয়া,ক্রিয়া,kɹija,krie̯a,Action,Verbs,0.5,0.0,0.05,0.075,0.875,0.05,1,-9.542444,0.9345141,0.8728491,0.9993998,0.99968964,loan
6,Assamese-Bengali,অক্ষ,অক্ষ,ɔkʰjɔ,okkʰɔ,Axis,Axis,0.6,0.25,0.0833333333333333,0.0833333333333333,1.625,0.0833333333333333,0,-7.5721292,0.9866247,0.9703773,0.9997511,0.99959254,loan
7,Assamese-Bengali,ঠেং,টাকা,tʰɛŋ,ʈaka,The tail,Money,1.0,0.5,0.296875,0.3229166666666666,2.875,0.3229166666666666,4,3.5226111000000007,0.85165364,0.75183165,0.99991816,0.99967086,loan
8,Assamese-Bengali,নিয়ৰ,নীহারিকা,nijɔɹɔ,n̪iɦarika,Snow,Nebula,0.7777777777777778,0.25,0.3020833333333333,0.3385416666666666,3.03125,0.3281249999999999,7,8.464771,0.91837245,0.7621017,0.99932057,0.9993251,loan
9,Assamese-Bengali,ৰচনা,রচনা,ɹɔsɔna,rɔt͡ɕɔn̪a,essay,Composition,0.5555555555555556,0.1666666666666666,0.0694444444444444,0.0833333333333333,1.0833333333333333,0.0694444444444444,1,-11.542226,0.85401773,0.6219287,0.99895877,0.99944466,loan
10,Assamese-Bengali,দাড়ি,দাড়ি,daɹi,d̪aɽi,Beard,Beard,0.4,0.0,0.0625,0.0833333333333333,1.0625,0.0625,0,-5.925724,0.97744274,0.9709637,0.99954486,0.9996443,loan
11,Assamese-Bengali,ধোঁৱা,ধোঁয়া,dʰʊ̃wa,d̪ʱõe̯a,smoke,Smoke,0.7142857142857143,0.25,0.09375,0.1041666666666666,0.90625,0.09375,2,0.12549973,0.95272005,0.8622763,0.99960953,0.997708,loan
12,Assamese-Bengali,সন্ধিয়া,সাঁঝ,xɔndʰija,ʃãd͡ʑʱɔ,evening,Evening,0.875,0.7142857142857143,0.4851190476190475,0.5297619047619048,4.196428571428571,0.5238095238095237,7,6.4350653,0.8752216,0.75064087,0.9995402,0.9988884,loan
13,Assamese-Bengali,গুহা,গুহা,guɦa,ɡuɦa,Cave,Cave,0.25,0.25,0.2239583333333333,0.25,1.8125,0.25,0,-8.714045,0.9894759,0.97291845,0.9999126,0.9998861,loan
14,Assamese-Bengali,পানী,পানীয়,pani,pan̪ie̯,water,Drinks,0.4285714285714285,0.2,0.1875,0.2083333333333333,1.5,0.2083333333333333,2,-2.9705155,0.932996,0.81398153,0.9997388,0.99966455,loan
15,Assamese-Bengali,লিপি,লিপি,lipi,lipi,Script,Script,0.0,0.0,0.0,0.0,0.0,0.0,0,-4.7411757,0.97430855,0.9429158,0.999651,0.9997944,loan
16,Assamese-Bengali,আগুনি,অগ্নি,aguni,oɡn̪i,Fire,Fire,0.8,0.25,0.1145833333333333,0.125,2.53125,0.1145833333333333,2,0.04319349,0.9356372,0.8051347,0.9967142,0.99907583,loan
17,Assamese-Bengali,উত্তৰ,উত্তর,uttɔɹɔ,ut̪t̪ɔrɔ,answer,The answer,0.375,0.0,0.0416666666666666,0.0555555555555555,0.6666666666666666,0.0416666666666666,1,-10.67318,0.79059875,0.8328084,0.99948007,0.999758,loan
18,Assamese-Bengali,মঙলবাৰ,মঙ্গলবার,mɔŋɔlɔbaɹ,mɔŋɡɔlɔbar,It's Tuesday,Tuesday,0.2,0.1,0.10625,0.125,1.075,0.1166666666666666,3,-26.669405,0.9473357,0.7908156,0.9995698,0.996911,loan
19,Assamese-Bengali,উট,উট,ut,uʈɔ,The camel,The camel,0.6666666666666666,0.3333333333333333,0.3125,0.3472222222222222,2.583333333333333,0.3472222222222222,0,-7.5951867,0.9713818,0.9448606,0.99913985,0.9991058,loan
20,Assamese-Bengali,দুৱাৰ,দ্বার,duwaɹ,d̪ar,The door,The door,0.6,0.4,0.4,0.4583333333333333,3.65,0.4416666666666667,3,-10.351538,0.86967784,0.82245815,0.9949902,0.9997317,loan
21,Assamese-Bengali,শিকোৱা,শিক্ষা,xikʊwa,ʃikkʰa,teaching,Education,0.5,0.5,0.2222222222222222,0.2430555555555555,2.5625,0.2395833333333333,2,-6.1701155,0.7069138,0.88446623,0.9992436,0.99822557,loan
