,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,plain Levenshtein,DNN_logits,MBERT_cos_sim,XLM_cos_sim,label
0,All_languages,ख़ानदान,خندان,xaːndaːn,xndɒn,family,Smiling,7,2.7798908,0.8913974165916443,0.6720381379127502,hard_negative
1,All_languages,दुकान,دوکان,dukaːn,dvkɒn,shop,The shop,5,0.61779016,0.850223183631897,0.6441253423690796,hard_negative
2,All_languages,जायदाद,چایدان,d͡ʒaːjdaːd,t͡ʃɒjdɒn,Property,Chaidan,6,1.533195,0.8248793482780457,0.6768795251846313,hard_negative
3,All_languages,माफ़ी,ماهی,maːfiː,mɒhj,apology,Fish,5,1.9036043000000002,0.8217182755470276,0.7087204456329346,hard_negative
4,All_languages,आबला,املا,aːblaː,ɒmlɒ,abla,Spell,4,0.28676257,0.8875439763069153,0.6667351722717285,hard_negative
5,All_languages,दीवानगी,زنانه,diːvaːnɡiː,znɒnh,craze,feminine,7,2.1199195,0.8521913290023804,0.679146409034729,random
6,All_languages,रमज़ान,همدان,rəmzaːn,hmdɒn,Ramadan,Hamedan,6,2.072725,0.8644245266914368,0.660926878452301,hard_negative
7,All_languages,बुत-कदा,بتکده,butə-kədaː,btkdh,fetishly,بتکده,7,4.7555879999999995,0.8662327527999878,0.6435409784317017,hard_negative
8,All_languages,रास्ता,راستی,raːstaː,rɒstj,way,Really,6,1.4114393,0.9390777349472046,0.5533976554870605,hard_negative
9,All_languages,चाबुक,چارک,t͡ʃaːbuk,t͡ʃɒrk,whip,چارک,5,1.4867302,0.8744701743125916,0.571088433265686,hard_negative
10,All_languages,चीख़,شیخ,t͡ʃiːx,ʃjx,squeak,Sheikh,4,2.1181102000000003,0.8555377125740051,0.6640349626541138,hard_negative
11,All_languages,मसाला,مثال,məsaːlaː,msɒl,Spice,Example,5,2.424604,0.6454276442527771,0.6391928791999817,hard_negative
12,All_languages,गहन,غیور,ɡəɦən,ɣjvr,intense,غیور,4,2.9142227000000003,0.8776147365570068,0.7661564946174622,synonym
13,All_languages,लश्करी,لشکر,ləʃkəriː,lʃkr,Lashkari,Unit of Army,6,2.1501713,0.7128008604049683,0.6069893836975098,hard_negative
14,All_languages,ताजपोशी,تاجبخش,taːd͡ʒpoʃiː,tɒd͡ʒbxʃ,coronation,تاجبخش,7,7.831797,0.8859432935714722,0.6940622329711914,hard_negative
15,All_languages,साफ़,ساو,saːf,sɒv,clean,saw,4,0.68613017,0.8464804887771606,0.6564159989356995,hard_negative
16,All_languages,नाज़ुकी,نازک,naːzukiː,nɒzk,delicate,fragile,7,2.4468691000000002,0.7764999270439148,0.6349696516990662,hard_negative
17,All_languages,idealist,assadiste,aɪˈdilɪst,asadist,idealist,assadiste,5,0.87396365,0.7063648104667664,0.7711929678916931,hard_negative
18,All_languages,tammy,tamis,ˈtæmi,tami,tammy,tamis,2,1.5722691,0.8414270877838135,0.6215808391571045,hard_negative
19,All_languages,Sane,Sain,seɪn,sɛ̃,Sane,I got it,2,1.5518728000000002,0.7522354125976562,0.7067000269889832,synonym
20,All_languages,Blanchette,blochet,blənˈʃɛt,blɔʃɛ,Blanchette,block,5,1.9293958999999998,0.8638829588890076,0.6906879544258118,hard_negative
21,All_languages,radioactive,rétroactif,ˌreɪdioʊˈæktɪv,ʀetʀɔaktif,radioactive,retroactive,5,5.783308,0.8099907636642456,0.622360110282898,hard_negative
22,All_languages,favori,favoris,favori*,favɔʀi,favorite,favorites,1,4.628939599999999,0.9497158527374268,0.6917948722839355,hard_negative
23,All_languages,drap,trappe,drap*,tʀap,drap,stairs,3,-0.0631976,0.8052259087562561,0.7579035758972168,hard_negative
24,All_languages,coup de maitre,joie de vivre,ku də ˈmeɪtrə,ʒwajə də vivʀ,stroke of genius,joy of living,6,3.6151400000000002,0.8709102869033813,0.7309333682060242,random
25,All_languages,odalisque,oscilloscope,odalisque*,ɔzijɔskɔp,odalisque,oscilloscope,8,0.7660694,0.900943398475647,0.7787202000617981,hard_negative
26,All_languages,banal,Bénard,bəˈnɑl,benaʀ,banal,Bénard,4,0.86406493,0.7345404624938965,0.6582964062690735,hard_negative
27,All_languages,pantaloons,pantelant,ˈpæntəˌlunz,pɑ̃təlɑ̃,pantaloons,παντηλαντ,4,0.53312165,0.8429625034332275,0.7869133353233337,hard_negative
28,All_languages,bloc,brique,blɑk,bʀik,bloc,brick,5,0.13733126,0.852369487285614,0.8110220432281494,hard_negative
29,All_languages,après-ski,après tout,après-ski*,apʀə̀s tu,after ski,after all,5,2.5217028,0.8529983758926392,0.4568384885787964,hard_negative
30,All_languages,mal,malt,mæl,mal,mal,malt,1,0.72066855,0.9048908948898317,0.685822069644928,hard_negative
31,All_languages,bistre,bistrot,bistre*,bistʀo,clear,bistro,2,-0.34872535,0.931998074054718,0.8930578827857971,hard_negative
32,All_languages,jargoon,hangar,jargoon*,ɑ̃ɡaʀ,jargoon,hangar,5,0.80115736,0.9064645767211914,0.7530261874198914,random
33,All_languages,gigue,ruée,gigue*,ʀɥe,jitter,rush,4,1.7242897000000001,0.8663349151611328,0.7388837337493896,hard_negative
34,All_languages,Laflamme,Leblanc,ˌlɑˈflæm,lɛblɑ̃k,The flame,Leblanc,5,1.1471746,0.8785324096679688,0.7783006429672241,hard_negative
35,All_languages,chateaubriand,catabatique,chateaubriand*,katabatik,chateaubriand,catabatique,8,1.0663552,0.880184531211853,0.7027332782745361,hard_negative
36,All_languages,à deux,hibou,à* du,ibu,together,owl,5,2.0186763,0.7598041892051697,0.4438370168209076,hard_negative
37,All_languages,fanal,faena,fanal*,fana,lantern,task,2,4.897536,0.7896072864532471,0.7413548827171326,hard_negative
38,All_languages,contretemps,contredanse,ˈkɑntrəˌtɛmps,kɔ̃tʀədɑ̃s,setback,contredanse,5,4.9027843,0.8418480753898621,0.8542234301567078,hard_negative
39,All_languages,coup de foudre,coup de bourre,ku də foudre*,kup də buʀʀ,thunderbolt,kick,2,3.1099495999999998,0.9657479524612428,0.8218164443969727,hard_negative
40,All_languages,balladine,baladeuse,balladine*,baladœz,balladine,hand lamp,4,0.26397118,0.9429089426994324,0.8521633744239807,hard_negative
41,All_languages,applique,appliquer,applique*,aplikəʀ,applique,to apply,1,-0.71062374,0.9323493242263794,0.7610293626785278,hard_negative
42,All_languages,pomme puree,nom de guerre,pomme* pjʊˈreɪ,nɔm də ɡɥɛʀʀ,mashed apple,War name,6,3.8665152000000003,0.820224940776825,0.6331761479377747,random
43,All_languages,crêpe,crédit,crêpe*,kʀedi,crepe,credit,4,0.42992225,0.8161860704421997,0.6819664239883423,hard_negative
44,All_languages,Adele,chandelle,əˈdɛl,ʃɑ̃dɛl,Adele,candle,5,1.6255403999999998,0.6422613263130188,0.7163210511207581,hard_negative
45,All_languages,bled,blindé,blɛd,blɛ̃de,bled,armored,3,0.84228855,0.8015689253807068,0.639290452003479,hard_negative
46,All_languages,observant,absorbant,əbˈzərvənt,absɔʀbɑ̃,observant,absorbent,3,0.3719941,0.91723370552063,0.7276318669319153,hard_negative
47,All_languages,cinephile,canapé,cinephile*,kanape,cinephile,couch,6,1.2333361999999999,0.8260026574134827,0.780492901802063,random
48,All_languages,Charming,Gagnant,ˈʧɑrmɪŋ,ɡaɲɑ̃,Charming,Winner,6,0.7440760000000001,0.612673819065094,0.7806800603866577,synonym
49,All_languages,fourbe,fourbi,fourbe*,fuʀbi,deceitful,Forbe,1,0.15427019,0.9696709513664246,0.8205695748329163,hard_negative
50,All_languages,automobile,auto-mobile,ˌɔtəmoʊˈbil,otɔ-mɔbil,automobile,car,1,4.3974867,0.8484426736831665,0.7248514890670776,hard_negative
51,All_languages,cereal,sériel,ˈsɪriəl,seʀjəl,cereal,serial,4,2.6446865,0.9044966697692872,0.7935022711753845,hard_negative
52,All_languages,chauvinism,siphonogame,ˈʃoʊvəˌnɪzəm,sifɔnɔɡam,chauvinism,siphonogame,10,1.330176,0.8823257088661194,0.8248670697212219,hard_negative
53,All_languages,badigeon,badigeonneuse,badigeon*,badiʒəɔnœz,badigeon,whitewasher,5,0.08099562,0.9614406824111938,0.720030665397644,hard_negative
54,All_languages,maki,magot,ˈmɑki,maɡo,maki,magot,3,0.5662222,0.8728092312812805,0.5797740817070007,hard_negative
55,All_languages,traipse,Troade,treɪps,tʀɔad,traipse,Troas,5,1.0477396,0.8334490656852722,0.6204525828361511,hard_negative
56,All_languages,coupe,coup,kup,ku,coupe,coup,1,-0.82123893,0.7704901695251465,0.8464224934577942,hard_negative
57,All_languages,vernissage,(caractères de) civilité,vernissage*,(kaʀaktə̀ʀɛs də) sivilite,opening,(characters of) civility,21,15.367578,0.8340838551521301,0.4488746821880341,random
58,All_languages,cerebral hemorrhage,de la première heure,ˈsɛrəbrəl ˈhɛmərɪʤ,də la pʀɑ̃jɛʀə œʀ,cerebral hemorrhage,from the first hour,15,7.4453854999999995,0.5782051086425781,0.5166879296302795,hard_negative
59,All_languages,tige,dia,tige*,dja,very,dia,3,1.2683773999999999,0.7640592455863953,0.8267990350723267,hard_negative
60,All_languages,bouillon,Bouallegue,ˌbuˈwɪlən,bwaləɡ,bouillon,Bouallegue,6,2.3319943,0.8567889332771301,0.7134504318237305,hard_negative
61,All_languages,colic,cholique,colic*,ʃɔlik,colic,cholique,4,0.5668491999999999,0.9033273458480836,0.7342049479484558,hard_negative
62,All_languages,amaranth,Adrien,ˈæmərˌænθ,adʀjɛ̃,amaranth,Adrien,7,1.5691776000000002,0.6179927587509155,0.6864411234855652,random
63,All_languages,vetiver,vétillard,vetiver*,vetijaʀ,vetiver,vétillard,5,0.1792199,0.8220006227493286,0.7680912017822266,hard_negative
64,All_languages,egalitarian,Charlebois,ɪˌgæləˈtɛriən,ʃaʀləbwa,egalitarian,Charlebois,9,2.2155192,0.6894791722297668,0.6826547384262085,random
65,All_languages,marque,Marc,mɑrk,maʀk,marque,Marc,4,4.2925806,0.7516952753067017,0.5611168742179871,hard_negative
66,All_languages,amollishment,abolissement,amollishment*,abɔlisəmɑ̃,amollishment,abolissement,4,5.824284,0.7562249898910522,0.7740790247917175,hard_negative
67,All_languages,Bergeron,Barcelone,ˈbərgərɔn,baʀsəlɔn,Bergeron,Barcelona,4,0.03608134,0.7751698493957521,0.7463859915733337,hard_negative
68,All_languages,hospice,auspice,ˈhɑspəs,ospiz,hospice,under the auspices of,2,-0.18785651,0.8090142011642456,0.9148041605949402,hard_negative
69,All_languages,bois durci,boiserie,bwɑ durci*,bwazəʀi,hardened wood,boiserie,5,1.3331777,0.7538048624992371,0.7418922781944275,hard_negative
70,All_languages,moulage,mouillage,moulage*,mujlaʒ,cast,wetting,2,2.5458013999999998,0.8729254603385925,0.9011536836624146,hard_negative
71,All_languages,blet,bleuté,blet*,blœte,blet,bluish,2,2.436829,0.7896035313606262,0.5600529909133911,hard_negative
72,All_languages,Risky,Risqué,ˈrɪski,ʀiske,Risky,Risqué,3,0.71142197,0.6452107429504395,0.7929720878601074,synonym
73,All_languages,Ogier,Augier,ˈoʊgiər,oʒjəʀ,Ogier,Augier,2,2.764294,0.9365821480751038,0.8386965394020081,hard_negative
74,All_languages,escapade,escapisme,ˈɛskəˌpeɪd,ɛskapism,escapade,escapism,3,1.4316711000000002,0.9190866947174072,0.706732451915741,hard_negative
75,All_languages,floral,Fleurette,ˈflɔrəl,flœʀɛt,floral,Fleurette,7,1.7127647000000001,0.8129857778549194,0.6868857741355896,hard_negative
76,All_languages,louis,louise,luɪs,lwiz,louis,louise,1,-0.8650144000000001,0.8597062230110168,0.7658762335777283,hard_negative
77,All_languages,couteau de chasse,couteau à viande,couteau* də ʧæs,kutəo a vjɑ̃d,hunting knife,meat knife,6,1.215177,0.9624280333518982,0.6468245387077332,hard_negative
78,All_languages,arbitrager,herboriser,ˈɑrbɪˌtrɑʒər,ɛʀbɔʀizəʀ,arbitrager,herboriser,6,0.26523256,0.8741288185119629,0.7697447538375854,hard_negative
79,All_languages,café,cafard,café*é,kafaʀ,café,cafard,3,-0.15998816,0.8453028202056885,0.7281337976455688,hard_negative
